Nome do destino,Código do serviço,Valor,Prazo Final
Vespasiano/MG,LGG,19.52,3
Vespasiano/MG,LGG,11.99,5
Vespasiano/MG,LGG,24.44,4
Vespasiano/MG,LGG,22.41,5
São Paulo/SP,LGG,9.93,2
São Paulo/SP,LGG,8.18,3
São Paulo/SP,LGG,15.14,2
São Paulo/SP,LGG,12.7,4
Feira de Santana/BA,LGG,21.51,5
Feira de Santana/BA,LGG,17.81,6
Feira de Santana/BA,LGG,30.98,5
Feira de Santana/BA,LGG,22.47,7
São Paulo/SP,LGG,11.99,2
São Paulo/SP,LGG,9.23,3
São Paulo/SP,LGG,17.25,2
São Paulo/SP,LGG,14.68,4
Rio de Janeiro/RJ,LGG,15.84,3
Rio de Janeiro/RJ,LGG,11.35,4
Rio de Janeiro/RJ,LGG,23.04,3
Rio de Janeiro/RJ,LGG,17.39,2
Palhoça/SC,LGG,11.31,4
Palhoça/SC,LGG,7.02,4
Palhoça/SC,LGG,13.98,3
Palhoça/SC,LGG,13.95,5
São Paulo/SP,LGG,11.99,2
São Paulo/SP,LGG,9.31,3
São Paulo/SP,LGG,17.25,2
São Paulo/SP,LGG,14.68,4
São Miguel do Oeste/SC,LGG,31.03,6
São Miguel do Oeste/SC,LGG,15.37,7
São Miguel do Oeste/SC,LGG,29.46,6
São Miguel do Oeste/SC,LGG,33.78,8
Jundiaí/SP,LGG,15.08,2
Jundiaí/SP,LGG,10.06,3
Jundiaí/SP,LGG,21.24,2
Jundiaí/SP,LGG,17.41,4
Paranavaí/PR,LGG,19.15,5
Paranavaí/PR,LGG,9.79,3
Paranavaí/PR,LGG,22.99,4
Paranavaí/PR,LGG,20.7,6
Criciúma/SC,LGG,25.8,4
Criciúma/SC,LGG,15.3,5
Criciúma/SC,LGG,22.43,4
Criciúma/SC,LGG,27.01,6
São Paulo/SP,LGG,6.96,2
São Paulo/SP,LGG,6.69,3
São Paulo/SP,LGG,10.59,2
São Paulo/SP,LGG,10.13,4
Goiânia/GO,LGG,18.79,4
Goiânia/GO,LGG,12.51,5
Goiânia/GO,LGG,21.78,4
Goiânia/GO,LGG,16.8,6
Salvador/BA,LGG,19.7,5
Salvador/BA,LGG,17.89,6
Salvador/BA,LGG,27.13,5
Salvador/BA,LGG,22.97,7
Conchal/SP,LGG,14.79,5
Conchal/SP,LGG,10.06,6
Conchal/SP,LGG,23.73,5
Conchal/SP,LGG,18.18,7
Itumbiara/GO,LGG,57.68,5
Itumbiara/GO,LGG,16.01,6
Itumbiara/GO,LGG,25.12,5
São Paulo/SP,LGG,9.93,2
São Paulo/SP,LGG,8.18,3
São Paulo/SP,LGG,15.14,2
São Paulo/SP,LGG,12.7,4
Rio de Janeiro/RJ,LGG,12.57,3
Rio de Janeiro/RJ,LGG,8.98,4
Rio de Janeiro/RJ,LGG,15.66,3
Rio de Janeiro/RJ,LGG,14.19,2
Jundiaí/SP,LGG,15.08,2
Jundiaí/SP,LGG,10.06,3
Jundiaí/SP,LGG,21.24,2
Jundiaí/SP,LGG,17.41,4
Capinópolis/MG,LGG,19.52,5
Capinópolis/MG,LGG,14.83,8
Capinópolis/MG,LGG,26.8,6
Capinópolis/MG,LGG,22.41,7
Brasília/DF,LGG,16.7,3
Brasília/DF,LGG,12.47,4
Brasília/DF,LGG,20.22,3
Brasília/DF,LGG,19.71,5
São Paulo/SP,LGG,11.99,2
São Paulo/SP,LGG,9.23,3
São Paulo/SP,LGG,17.25,2
São Paulo/SP,LGG,14.68,4
São Paulo/SP,LGG,14.5,2
São Paulo/SP,LGG,9.29,3
São Paulo/SP,LGG,20.85,2
São Paulo/SP,LGG,17.13,4
Brasília/DF,LGG,21.87,3
Brasília/DF,LGG,15.66,4
Brasília/DF,LGG,28.16,3
Brasília/DF,LGG,25.33,5
São Paulo/SP,LGG,11.99,2
São Paulo/SP,LGG,9.23,3
São Paulo/SP,LGG,17.25,2
São Paulo/SP,LGG,14.68,4
Ribeirão Preto/SP,LGG,15.59,2
Ribeirão Preto/SP,LGG,10.44,3
Ribeirão Preto/SP,LGG,23.82,2
Ribeirão Preto/SP,LGG,18.82,4
Recife/PE,LGG,21.75,6
Recife/PE,LGG,16.32,7
Recife/PE,LGG,25.22,6
Recife/PE,LGG,25.23,8
São Paulo/SP,LGG,9.84,2
São Paulo/SP,LGG,8.17,3
São Paulo/SP,LGG,15.02,2
São Paulo/SP,LGG,12.63,4
São Paulo/SP,LGG,9.84,3
São Paulo/SP,LGG,8.15,4
São Paulo/SP,LGG,15.02,3
São Paulo/SP,LGG,12.63,5
São Paulo/SP,LGG,12.1,2
São Paulo/SP,LGG,9.24,3
São Paulo/SP,LGG,17.41,2
São Paulo/SP,LGG,14.78,4
São José do Rio Preto/SP,LGG,11.39,4
São José do Rio Preto/SP,LGG,8.28,5
São José do Rio Preto/SP,LGG,17.44,4
São José do Rio Preto/SP,LGG,15.04,6
Salvador/BA,LGG,18.95,5
Salvador/BA,LGG,17.8,6
Salvador/BA,LGG,26.12,5
Salvador/BA,LGG,22.37,7
Taquaritinga/SP,LGG,15.91,5
Taquaritinga/SP,LGG,9.42,6
Taquaritinga/SP,LGG,23.88,5
Taquaritinga/SP,LGG,19.28,7
Caldas Novas/GO,LGG,29.62,5
Caldas Novas/GO,LGG,18.34,6
Caldas Novas/GO,LGG,25.12,5
Caldas Novas/GO,LGG,30.29,7
Osasco/SP,LGG,15.2,2
Osasco/SP,LGG,10.07,3
Osasco/SP,LGG,18.17,2
Osasco/SP,LGG,17.5,4
Limeira/SP,LGG,15.08,3
Limeira/SP,LGG,10.06,4
Limeira/SP,LGG,22.75,3
Limeira/SP,LGG,17.41,5
Contagem/MG,LGG,20.37,3
Contagem/MG,LGG,13.06,4
Contagem/MG,LGG,24.44,3
Contagem/MG,LGG,19.73,4
Carpina/PE,LGG,22.96,7
Carpina/PE,LGG,14.15,8
Carpina/PE,LGG,24.56,6
Carpina/PE,LGG,25.88,9
Goiânia/GO,LGG,15.29,4
Goiânia/GO,LGG,10.38,5
Goiânia/GO,LGG,19.3,4
Goiânia/GO,LGG,15.5,6
São Paulo/SP,LGG,8.23,2
São Paulo/SP,LGG,6.76,3
São Paulo/SP,LGG,12.76,2
São Paulo/SP,LGG,11.57,4
São Paulo/SP,LGG,8.16,2
São Paulo/SP,LGG,6.76,3
São Paulo/SP,LGG,12.68,2
São Paulo/SP,LGG,11.52,4
Torrinha/SP,LGG,12.27,6
Torrinha/SP,LGG,17.82,6
Torrinha/SP,LGG,15.96,8
São José do Rio Preto/SP,LGG,11.46,4
São José do Rio Preto/SP,LGG,8.28,5
São José do Rio Preto/SP,LGG,17.53,4
São José do Rio Preto/SP,LGG,15.09,6
Campina Grande/PB,LGG,22.86,7
Campina Grande/PB,LGG,14.94,8
Campina Grande/PB,LGG,25.38,7
Campina Grande/PB,LGG,26.33,9
Salvador/BA,LGG,15.09,5
Salvador/BA,LGG,14.17,6
Salvador/BA,LGG,21.67,5
Salvador/BA,LGG,18.68,7
Itapira/SP,LGG,11.39,3
Itapira/SP,LGG,7.68,4
Itapira/SP,LGG,17.44,3
Itapira/SP,LGG,15.04,5
Uberlândia/MG,LGG,14.67,3
Uberlândia/MG,LGG,10.67,4
Uberlândia/MG,LGG,19.29,3
Uberlândia/MG,LGG,18.22,5
Jales/SP,LGG,14.05,4
Jales/SP,LGG,8.11,5
Jales/SP,LGG,17.82,4
Jales/SP,LGG,17.84,6
São Paulo/SP,LGG,8.23,2
São Paulo/SP,LGG,7.09,3
São Paulo/SP,LGG,12.76,2
São Paulo/SP,LGG,11.57,4
São Paulo/SP,LGG,6.96,2
São Paulo/SP,LGG,6.82,3
São Paulo/SP,LGG,10.59,2
São Paulo/SP,LGG,10.13,4
Piranga/MG,LGG,14.81,7
Piranga/MG,LGG,16.5,7
Piranga/MG,LGG,18.92,8
Curitiba/PR,LGG,11.05,3
Curitiba/PR,LGG,7.64,4
