Código do Pedido;Cidade do destino;UF do destino;Código do serviço;Valor;Prazo Final
0042406363754;Recife;PE;JET;15.27;7
0012406437833;São Paulo;SP;JET;9.92;4
0012406461057;Sumaré;SP;GFL;12.43;2
0012406112310;Juiz de Fora;MG;JET;11.87;6
0012406042274;São Paulo;SP;GFL;10.84;2
0012406254863;Campinas;SP;GFL;10.67;2
0012406587997;Uruçuca;BA;JET;15.41;10
0012406507493;Cuiabá;MT;GFL;20.42;8
0012406425471;Rio de Janeiro;RJ;JET;12.11;4
0012406600957;Macapá;AP;JET;24.56;14
0012406249065;Uberaba;MG;JET;12.31;7
0012406571931;Manaus;AM;JET;24.77;12
0012406439973;Aparecida de Goiânia;GO;GFL;18.3;5
0012406242243;Barreiras;BA;JET;16.28;10
0012406220021;Americana;SP;GFL;13.05;2
0012406605884;Brasilândia de Minas;MG;JET;13.11;8
0012406694107;São Paulo;SP;GFL;10.66;2
0012406676055;Serra;ES;JET;10.32;7
0012406309881;Santo Estêvão;BA;JET;15.41;10
0012406727826;Rio de Janeiro;RJ;JET;12.11;5
0012406105923;Brasília;DF;GFL;15.1;5
0012406101987;São Gonçalo;RJ;JET;12.21;8
0012406857373;Salvador;BA;JET;18.42;7
0012406442017;Montes Claros;MG;JET;14.78;7
0012406488031;Serrania;MG;GFL;12.62;12
0012406850319;Dourados;MS;JET;18.22;10
0012406425024;Ilhéus;BA;JET;14.97;10
0012406068952;Alagoinhas;BA;JET;18.35;9
0012406327855;Coruripe;AL;JET;17.57;12
0012406558502;Jacaraú;PB;JET;21.24;15
0012406915066;Santo André;SP;GFL;11.47;2
0012406950821;Itatiba;SP;JET;11.33;6
0012406261240;Mara Rosa;GO;JET;17.97;18
0012406568123;Mauá;SP;GFL;12.65;2
0012406788116;Brasília;DF;GFL;14.79;4
0042406046802;Rio de Janeiro;RJ;JET;10.77;4
0012406991074;Belém;PA;GFL;29.13;13
0012406377862;São Luís;MA;JET;16.13;12
0012406919315;Palhoça;SC;RSU;11.6;4
0012406028803;Brasília;DF;GFL;14.51;4
0012406994957;Dourados;MS;JET;17.15;10
0012406772659;Caruaru;PE;JET;18.72;9
0012406844930;São Paulo;SP;GFL;11.23;2
0012406900488;São Roque;SP;JET;12.55;5
0012406784733;Magé;RJ;JET;12.87;7
0012406668486;São Luís;MA;JET;16.13;12
0012406601341;Aparecida de Goiânia;GO;GFL;17.85;5
0012406957524;Conrado;RJ;JET;14.74;8
0012406955695;Irauçuba;CE;JET;48.93;13
0012406188226;Aliança;PE;JET;16.71;13
0012406266969;Juazeiro do Norte;CE;JET;16.91;14
0012406636483;Piripiri;PI;JET;17.04;16
0012406995492;Macaé;RJ;JET;11.66;6
0012406419680;Belo Horizonte;MG;GFL;9.17;3
0012406413240;Santarém;PA;JET;32.97;18
0012406273962;Palmas;TO;GFL;21.46;9
0012406242041;Cuiabá;MT;JET;13.25;9
0012406064132;Campos dos Goytacazes;RJ;JET;14.27;6
0012406777581;Esmeraldas;MG;JET;14.07;8
0012406299351;Itajaí;SC;RSU;13.21;4
0012406544591;Brasília;DF;GFL;15.48;5
0012406613521;São José dos Campos;SP;GFL;13.54;2
0012406522336;Macapá;AP;JET;31.93;14
0012406658976;Cariacica;ES;JET;12.43;6
0012406069338;Maringá;PR;RSU;10.91;5
